
Nom,Telefon,Direccio,Districte,Barri,Ciutat,Codi Postal,Regio,Pais,Lat,Lon,Web,
Bar Ca la Lluisa *Diagonal Mar,-,-----,Sant Martí,Poble Nou,BARCELONA,08019,BARCELONA,ESPANYA,41.41097503333333,2.2185804444444446,-----,
Restaurant El Racó d'en José Luis II,-,-----,Sant Martí,la Vila Olímpica del Poblenou,BARCELONA,08005,BARCELONA,ESPANYA,41.390896519444446,2.1978509444444443,http://www.accua.com,
Da Geppetto,-,-----,Sant Martí,el Poblenou,BARCELONA,08005,BARCELONA,ESPANYA,41.39898908333333,2.2035011944444447,-----,
Club Natació Atlètic - Barceloneta,-,-----,Ciutat Vella,la Barceloneta,BARCELONA,08003,BARCELONA,ESPANYA,41.375434713888886,2.1898365833333333,-----,
Restaurant Taberna Abasolo Etxea,-,-----,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,BARCELONA,08021,BARCELONA,ESPANYA,41.39488239722222,2.1438170833333334,http://www.abasoloetxea.com,
Bar Berlin,-,-----,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,BARCELONA,08021,BARCELONA,ESPANYA,41.394329347222225,2.149497361111111,-----,
Bar Restaurant On,-,-----,Ciutat Vella,el Barri Gòtic,BARCELONA,08002,BARCELONA,ESPANYA,41.382895425,2.1754921388888886,-----,
Restaurant Biblioteca,-,-----,Ciutat Vella,el Raval,BARCELONA,08001,BARCELONA,ESPANYA,41.37923755833334,2.1719045555555554,-----,
Bar musical Fritz Mar,-,-----,Ciutat Vella,la Barceloneta,BARCELONA,08005,BARCELONA,ESPANYA,41.383444583333336,2.1954624444444444,-----,
Hotel Rívoli Rambla,-,-----,Ciutat Vella,el Barri Gòtic,BARCELONA,08002,BARCELONA,ESPANYA,41.38428501666667,2.1711567777777776,-----,
Hotel Barcelona Hilton,-,-----,Les Corts,les Corts,BARCELONA,08014,BARCELONA,ESPANYA,41.38889217222222,2.131376027777778,-----,
Bar Restaurant L'Explendid,-,-----,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,BARCELONA,08006,BARCELONA,ESPANYA,41.39647592777778,2.14893075,-----,
Restaurant Bar Ra,-,-----,Ciutat Vella,el Raval,BARCELONA,08001,BARCELONA,ESPANYA,41.381770933333335,2.1706049166666666,-----,
